epoch,train_loss,val_loss,val_acc,lr,time
70,0.125377,1.60396,71.28,2.061073738537638e-05,2025-09-13T08:25:43
71,0.121251,1.611052,71.07,1.9354647317351198e-05,2025-09-13T08:26:10
72,0.120029,1.660339,70.63,1.812880051256554e-05,2025-09-13T08:26:37
73,0.120735,1.606629,71.05,1.693440673381744e-05,2025-09-13T08:27:04
74,0.11539,1.654231,71.03,1.577264470356559e-05,2025-09-13T08:27:31
75,0.112351,1.67407,71.08,1.464466094067265e-05,2025-09-13T08:27:58
76,0.11243,1.671638,71.35,1.3551568628929456e-05,2025-09-13T08:28:26
77,0.113733,1.639932,71.26,1.249444651847704e-05,2025-09-13T08:28:53
78,0.109243,1.647667,71.41,1.1474337861210562e-05,2025-09-13T08:29:20
79,0.102815,1.664503,71.39,1.0492249381215497e-05,2025-09-13T08:29:47
80,0.10525,1.653915,71.27,9.549150281252648e-06,2025-09-13T08:30:15
81,0.105926,1.666605,71.29,8.645971286271927e-06,2025-09-13T08:30:42
82,0.10264,1.67874,71.57,7.78360372489927e-06,2025-09-13T08:31:10
83,0.10536,1.677857,71.41,6.962898649802823e-06,2025-09-13T08:31:37
84,0.105885,1.682679,71.59,6.184665997806831e-06,2025-09-13T08:32:04
85,0.103624,1.685985,71.25,5.449673790581619e-06,2025-09-13T08:32:32
86,0.10032,1.688257,71.45,4.75864737669904e-06,2025-09-13T08:32:59
87,0.098219,1.689799,71.6,4.112268715800961e-06,2025-09-13T08:33:26
88,0.098982,1.685861,71.59,3.5111757055874383e-06,2025-09-13T08:33:53
89,0.099276,1.693391,71.51,2.9559615522887324e-06,2025-09-13T08:34:20
90,0.095218,1.685032,71.58,2.4471741852423276e-06,2025-09-13T08:34:47
91,0.094574,1.686067,71.73,1.9853157161528557e-06,2025-09-13T08:35:14
92,0.100064,1.68402,71.71,1.5708419435684545e-06,2025-09-13T08:35:42
93,0.092775,1.694334,71.6,1.2041619030626358e-06,2025-09-13T08:36:09
94,0.094781,1.695589,71.76,8.856374635655655e-07,2025-09-13T08:36:36
95,0.096058,1.696867,71.69,6.155829702431181e-07,2025-09-13T08:37:03
96,0.095353,1.694838,71.77,3.9426493427611245e-07,2025-09-13T08:37:31
97,0.096168,1.692891,71.77,2.2190176984600058e-07,2025-09-13T08:37:58
98,0.092916,1.693547,71.75,9.866357858642222e-08,2025-09-13T08:38:25
99,0.091835,1.694427,71.73,2.467198171342004e-08,2025-09-13T08:38:52
100,0.0901,1.694631,71.71,0.0,2025-09-13T08:39:20
